.15,9.54
0.08,-0.08,9.54
0.11,-0.15,9.46
0.08,-0.08,9.58
0.00,-0.08,9.65
0.08,-0.11,9.50
0.00,-0.04,9.50
0.08,-0.15,9.50
0.00,-0.11,9.50
0.08,-0.11,9.50
0.00,-0.04,9.42
0.08,-0.15,9.46
0.04,-0.15,9.35
0.08,-0.11,9.39
0.04,-0.08,9.50
0.04,-0.11,9.50
0.08,-0.15,9.46
0.08,-0.23,9.42
0.00,-0.11,9.54
0.19,-0.04,9.50
0.08,-0.08,9.42
-0.04,-0.15,9.54
0.04,-0.15,9.35
0.00,-0.11,9.42
0.04,-0.08,9.54
0.08,-0.04,9.62
0.04,-0.08,9.58
0.04,-0.15,9.62
-0.04,-0.15,9.50
0.11,-0.19,9.46
0.15,-0.23,9.54
0.04,-0.15,9.42
0.04,-0.15,9.46
0.15,-0.08,9.54
0.08,-0.04,9.50
0.04,-0.23,9.58
0.08,-0.19,9.42
0.08,-0.19,9.50
0.08,-0.08,9.46
0.08,-0.08,9.35
-0.15,-0.11,9.62
-0.04,-0.15,9.46
0.08,-0.08,9.50
-0.08,-0.08,9.39
0.11,-0.11,9.54
0.08,-0.15,9.50
0.08,-0.11,9.58
0.11,0.00,9.35
0.08,-0.15,9.42
0.00,-0.15,9.54
0.00,-0.08,9.42
0.04,-0.15,9.50
0.04,-0.15,9.42
0.11,-0.04,9.50
0.04,0.00,9.58
0.08,-0.19,9.42
0.00,-0.11,9.50
0.15,-0.11,9.54
0.04,-0.15,9.46
0.04,-0.11,9.46
-0.19,-0.77,9.50
-0.27,-0.34,10.80
0.96,0.11,8.16
0.04,-0.08,9.42
0.00,-0.23,9.46
0.31,0.15,9.50
0.73,0.50,9.69
-0.27,-0.65,9.08
0.00,-1.15,9.46
-0.15,-2.57,9.65
-0.80,0.23,9.16
1.00,-0.57,9.42
0.57,-1.07,9.12
0.27,-0.15,8.96
-0.11,-0.23,9.35
-0.27,0.08,9.42
0.11,-0.04,9.54
0.04,-0.08,9.42
0.19,-0.11,9.54
0.11,-0.08,9.46
0.08,-0.08,9.35
0.11,-0.19,9.46
0.04,-0.15,9.50
0.19,-0.19,9.46
0.00,-0.11,9.50
0.04,-0.04,9.46
0.11,-0.08,9.46
